pla33810, strongly corr, uncorr/sim weights, uncorr/diff weights
RLS, 1617776.3127609, -991364.0032576522, -4.02320186579429E7
($\mu$+$\lambda$)EA, 1503926.4052672, -1.3361422887943825E7, -5.6524768215713985E7
Sim. annealing, 1653033.6809265, 2290770.0118580, -3.376665346775643E7
($\mu \lambda$)EA, 1009388.0580573, -1.3108649956740005E7, -5.636689662844416E7
1+($\lambda \lambda$)GA, 1057393.3377742, -1.4677930894032123E7, -5.683282371172095E7
Random, 1447343.067634, -1.3119957426448433E7, -5.6311925881430656E7
