a280, strongly corr, uncorr/sim weights, uncorr/diff weights
RLS, 15051.8019370, 104363.6465698, 411714.7895653
($\mu$+$\lambda$)EA, 15964.2232060, 104364.48085275, 406518.83992591
Sim. annealing, 14574.5134533, 104364.02100352, 411714.7895653
($\mu \lambda$)EA, 12780.4646832, 103668.17130203, 405539.75820266
1+($\lambda \lambda$)GA, 15601.751609, 104196.08949973, 329082.5109551
Aléatoire, 14430.5244282, 103900.45630387, 382653.85033683
