fnl4461, strongly corr, uncorr/sim weights, uncorr/diff weights
RLS, 200876.0190944, 1478962.470699, 6256257.38687
($\mu$+$\lambda$)EA, 216245.328453, 1478185.8014, 4886149.62120
Sim. annealing, 214302.1063892, 1477465.299215, 6257466.32914
($\mu \lambda$)EA, 108355.7323370, 1451984.570510, 5259059.98241
1+($\lambda \lambda$)GA, 188920.0234235, 1408012.654966, 2846992.70523
Random, 241333.2837983, 1473316.4323993, 3958306.7667767
